id,test,test_part,test_type,test_item,question_elements,statement,answers,correct_answer
1,enem_2024,ch,azul,55,"[{'question_text': 'A alma funciona no meu corpo de maneira maravilhosa. Nele se aloja, certamente, mas sabe bem dele escapar: escapa para ver as coisas através da janela dos meus olhos, escapa para sonhar quando durmo, para sobreviver quando morro. Minha alma durará muito tempo e mais que muito tempo, quando meu corpo vier a apodrecer. Viva minha alma! É meu corpo luminoso, purificado, virtuoso, ágil, móvel, tépido, viçoso; é meu corpo liso, castrado, arredondado como uma bolha de sabão.\n', 'question_text_reference': 'FOUCAULT, M. **O corpo utópico, as heterotopias**. São Paulo: Edições N-1, 2013.'}]",Esse texto reforça uma concepção metafísica clássica que remete a um(a),"{'A': 'pressuposto lógico.', 'B': 'pensamento dicotômico.', 'C': 'contemplação da natureza.', 'D': 'raciocínio argumentativo.', 'E': 'crítica à individualidade.'}",B
2,enem_2024,ch,azul,58,"[{'question_text_title': 'TEXTO I', 'question_text': 'Aristóteles entendia que a felicidade era diretamente ligada ao respeito pela própria natureza e, de certa maneira, a uma vida que tivesse na natureza de si mesma uma referência inabalável. Isso lhe permitiu formular o conceito de excelência. O que seria excelência? Seria, justamente, ao longo da vida, tirar de si mesmo, em forma de performance, de conduta, de comportamento, de disposição, o que a natureza permitiria de melhor.\n', 'question_text_reference': 'COEN, M.; BARROS FILHO, C. **A monja e o professor**: reflexões sobre ética, preceitos e valores. Rio de Janeiro: Best Seller, 2018.\n'}, {'question_text_title': 'TEXTO II', 'question_text': 'A noção de eudaimonia é central para a ética aristotélica. A eudaimonia é uma atividade e não um estado psicológico, pois é definida na Ética a Nicômaco como uma atividade da alma com base na virtude moral. A virtude moral é definida em termos de uma disposição diretamente ligada à deliberação, o que o leva a estudar a virtude intelectual que opera em seu interior, isto é, a prudência. A estrutura conceitual da ética aristotélica responde a uma tentativa de elucidar conceitualmente em que consiste isto, agir bem, ou, na linguagem aristotélica, o que significa ser feliz.\n', 'question_text_reference': 'ZINGANO, M. Eudaimonia, razão e contemplação na ética aristotélica. **Analytica**, n. 1, 2017 (adaptado).\n'}]","Os textos indicam que a prática de ações virtuosas, sempre efetivada na pólis, ocorre por meio do(a)
","{'A': 'teoria das formas essenciais.', 'B': 'identificação dos princípios racionais.', 'C': 'desenvolvimento das técnicas retóricas.', 'D': 'aperfeiçoamento das condutas humanas.', 'E': 'conhecimento das epistemes verdadeiras.'}",D
3,enem_2024,ch,azul,61,"[{'question_text': 'Eu sentia falta do futuro. É claro que eu sabia, muito mesmo antes da recorrência dele, que nunca envelheceria. Era muito provável que eu nunca mais fosse ver o oceano de uma altura de trinta mil pés de novo, uma distância tão grande que não dá nem para distinguir as ondas, nem nenhum barco, de um jeito que faz o oceano parecer um enorme e infinito monólito. Eu poderia imaginá-lo. Eu poderia me lembrar dele. Mas não poderia vê-lo de novo, e me ocorreu que a ambição voraz dos seres humanos nunca é saciada quando os sonhos são realizados, porque há sempre a sensação de que tudo poderia ter sido feito melhor e ser feito outra vez.\n', 'question_text_reference': 'GREEN, J. **A culpa é das estrelas**. Rio de Janeiro: Intrínseca, 2012.\n'}]","O texto apresenta uma reflexão da personagem acerca de um problema característico da filosofia contemporânea, que trata da(s)
","{'A': 'implicações éticas.', 'B': 'finitude humana.', 'C': 'limitações da linguagem.', 'D': 'pressuposição existencial.', 'E': 'objetividade do conhecimento.'}",B
4,enem_2024,ch,azul,62,"[{'question_text_title': 'TEXTO I', 'question_text': 'O empirismo moderno foi, em grande parte, condicionado por dois dogmas. Um deles é a crença em certa divisão fundamental entre verdades analíticas, ou fundadas em significados independentemente de questões de fato, e verdades sintéticas, ou fundadas em fatos. O outro dogma é o reducionismo: a crença de que todo enunciado significativo é equivalente a algum construto lógico sobre termos que se referem à experiência imediata.\n', 'question_text_reference': 'QUINE, W. V. O. Dois dogmas do empirismo. In: RYLE, G. et al. Ensaios. São Paulo: Abril Cultural, 1975.\n'}, {'question_text_title': 'TEXTO II', 'question_text': 'Teses: 1. Somente os enunciados que possuem conteúdo factual são teoricamente significativos; enunciados que não podem, em princípio, estar fundamentados pela experiência são carentes de significado. 2. As ciências empíricas usam somente o conteúdo empírico da realidade. 3. A filosofia usa um conceito não empírico da realidade.\n', 'question_text_reference': 'CARNAP, R. **Pseudoproblemas na filosofia.** In: SCHLICK, M.; CARNAP, R.; POPPER, K. Coletânea de textos. São Paulo: Abril Cultural, 1975.\n'}]","Ao comparar os textos, conclui-se que eles apresentam posicionamentos filosóficos divergentes com relação ao
","{'A': 'estatuto epistemológico da linguagem.', 'B': 'alicerce estruturante da moralidade.', 'C': 'conteúdo essencial da metafísica.', 'D': 'princípio constitutivo da ontologia.', 'E': 'domínio reflexivo da estética.'}",A
5,enem_2024,ch,azul,75,"[{'question_text': 'Os salões permitiam aos escritores da época do Iluminismo adentrar no universo dos poderosos. Figuras como as de Voltaire e Duclos exortavam seus “irmãos” a aproveitarem da mobilidade que era oferecida pela ordem social do Antigo Regime, juntando-se à elite. Nos últimos decênios do Ancien Régime, ele foi se tornando cada vez mais o reduto dos filósofos do Alto Iluminismo, que deixavam os cafés para os tipos inferiores de literário. Com efeito, os cafés se constituíram na antítese lógica dos salões. Eles eram abertos a todos, a um passo da rua. Como é possível constatar, salões e cafés constituem interessantes instituições do espaço público literário através das quais é possível vislumbrar as bases sociais nas quais se assentavam o Alto e o Baixo Iluminismo.\n', 'question_text_reference': 'HABERMAS, J. **Mudança estrutural da esfera pública: investigações quanto a uma categoria da sociedade burguesa.** Rio de Janeiro: Tempo Brasileiro, 1984 (adaptado).\n'}]","No período iluminista, os espaços sociais mencionados contribuíram para
","{'A': 'segregar pensadores e aumentar a circulação de ideias.', 'B': 'apoiar revolucionários e perseguir a nobreza local.', 'C': 'rejeitar poetisas e proibir a entrada de mulheres.', 'D': 'censurar cronistas e coibir o patrocínio editorial.', 'E': 'integrar artistas e ampliar o comércio urbano.'}",A
6,enem_2024,ch,azul,76,"[{'question_text': 'Resumamos os principais caracteres de um rizoma: diferentemente das árvores ou de suas raízes, o rizoma conecta um ponto qualquer com outro ponto qualquer e cada um de seus traços não remete necessariamente a traços de mesma natureza. Contra os sistemas centrados (e mesmo policentrados), de comunicação hierárquica e ligações preestabelecidas, o rizoma é um sistema a-centrado não hierárquico e não significante, sem general, sem memória organizadora ou autômato central, unicamente definido por uma circulação de estados.\n', 'question_text_reference': 'DELEUZE, G.; GUATTARI, F. **Mil platôs.** São Paulo: Editora 34, 1995 (adaptado).\n'}]","Qual elemento da cultura contemporânea se relaciona às características do conceito de rizoma, conforme descrito no texto?
","{'A': 'Estrutura fixa.', 'B': 'Lógica binária.', 'C': 'Controle homogêneo.', 'D': 'Uniformidade de opiniões.', 'E': 'Pluralidade de interações.'}",E
7,enem_2024,ch,azul,78,"[{'question_text': 'A regra de ouro, popularmente conhecida pelo provérbio ""Trate os outros como gostaria de ser tratado"", é um dos princípios morais mais onipresentes. A noção subjacente, que apela para o senso ético mais básico, se expressa de uma forma ou de outra em praticamente todas as tradições religiosas, e poucos filósofos morais deixaram de invocar a regra ou pelo menos de tecer comentários a respeito da relação com seus próprios princípios.\n', 'question_text_reference': 'DUPRÉ, B. **50 grandes ideias da humanidade**. São Paulo: Planeta do Brasil, 2016.\n'}]","O princípio ético apresentado no texto, como elemento estruturante da vida em sociedade, se traduz pela seguinte formulação teórica:
","{'A': 'Doutrina teleológica.', 'B': 'Imperativo categórico.', 'C': 'Pensamento utilitarista.', 'D': 'Secularização inautêntica.', 'E': 'Raciocínio consequencialista.'}",B
8,enem_2024,ch,azul,82,"[{'question_text': 'Bertrand Russell conta a história de um peru que descobrira, em sua primeira manhã na fazenda de perus, que fora alimentado às 9 da manhã. Contudo, ele não tirou conclusões apressadas. Esperou até recolher um grande número de observações do fato de que era alimentado às 9 da manhã e fez essas observações sob uma ampla variedade de circunstâncias, às quartas e quintas-feiras, em dias quentes e dias frios, em dias chuvosos e dias secos. A cada dia acrescentava uma outra proposição de observação à sua lista. Finalmente, sua consciência ficou satisfeita e ele concluiu. “Eu sou alimentado sempre às 9 da manhã”.\n', 'question_text_reference': 'CHALMERS, A. **O que é ciência, afinal?** São Paulo: Brasiliense, 1993 (adaptado).\n'}]","Qual tipo de raciocínio corresponde ao padrão de pensamento exibido pelo personagem do texto?
","{'A': 'Prático, porque recolhe evidências e recomenda ações.', 'B': 'Absoluto, porque busca confirmações e bloqueia refutações.', 'C': 'Indutivo, porque observa eventos particulares e infere leis universais.', 'D': 'Demonstrativo, porque encadeia premissas e extrai conclusões indubitáveis.', 'E': 'Analógico, porque compara diferentes situações e detecta elementos semelhantes.'}",C
9,enem_2024,ch,azul,90,"[{'question_text': 'Uma fábrica na qual os operários fossem, efetiva e integralmente, simples peças de máquinas executando cegamente as ordens da direção pararia em quinze minutos. O capitalismo só pode funcionar com a contribuição constante da atividade propriamente humana de seus subjugados que, ao mesmo tempo, tenta reduzir e desumanizar o mais possível.\n', 'question_text_reference': 'CASTORIADIS, C. **A instituição imaginária da sociedade.** Rio de Janeiro: Paz e Terra, 1982.\n'}]","O texto apresenta uma contradição interna do capitalismo caracterizada pela
","{'A': 'obsolescência associada ao uso da tecnologia.', 'B': 'orientação voltada à administração de conflitos.', 'C': 'alienação decorrente da organização do trabalho.', 'D': 'isonomia remanescente da geração de riquezas.', 'E': 'produtividade vinculada ao fortalecimento da autonomia.'}",C
10,enem_2025,ch,azul,48,"[{'question_text': 'A credulidade dos ouvintes aumenta o descaramento do narrador, e o descaramento deste conquista-lhes a credulidade. A eloquência, quando levada a seu patamar mais alto, deixa pouco lugar à razão ou à reflexão, mas, dirigindo-se inteiramente à imaginação e aos afetos, cativa os ouvintes condescendentes e subjuga-lhes o entendimento.\n', 'question_text_reference': 'HUME, D. **Uma investigação sobre o entendimento humano e sobre os princípios da moral.** São Paulo: Edunesp, 2003.\n'}]","No contexto do século XVIII, o autor propõe uma reflexão radical acerca da arte da eloquência, restringindo-a ao
","{'A': 'sistema de crenças, conforme a proposta kantiana de objetividade do conhecimento.', 'B': 'campo dos absolutos, semelhante ao entendimento medieval dos Universais.', 'C': 'domínio da lógica, consoante a compreensão aristotélica nos Analíticos.', 'D': 'paradigma da racionalidade, alinhado ao modelo cartesiano de método.', 'E': 'âmbito da persuasão, análogo às críticas platônicas aos sofistas.'}",E
11,enem_2025,ch,azul,50,"[{'question_text': 'O direito não é a justiça. O direito é o elemento do cálculo, é justo que haja um direito, mas a justiça é incalculável, ela exige que se calcule o incalculável; e as experiências aporéticas são experiências tão improváveis quanto necessárias da justiça, isto é, são momentos em que a decisão entre o justo e o injusto nunca é garantida por uma regra.\n', 'question_text_reference': 'DERRIDA, J. **Força de lei.** São Paulo: Martins Fontes, 2010 (adaptado).\n'}]","De acordo com o texto, ainda que estejam em desconformidade com o ordenamento jurídico, são exemplos de ação justa:
","{'A': 'Casos de desobediência civil.', 'B': 'Repressões do aparato estatal.', 'C': 'Conflitos de natureza intercontinental.', 'D': 'Manifestações do movimento sindical.', 'E': 'Mobilizações de agremiações estudantis.'}",A
12,enem_2025,ch,azul,55,"[{'question_text': 'A “invenção” dessa nova anatomia política não deve ser entendida como uma descoberta súbita. Mas como uma multiplicidade de processos muitas vezes mínimos, de origens diferentes, de localizações esparsas, que se recordam, que se repetem, ou se imitam, apoiam-se uns sobre os outros e esboçam aos poucos a fachada de um método geral. Encontramo-los em funcionamento nos colégios, muito cedo; mais tarde, nas escolas primárias, no espaço hospitalar e na organização militar.\n', 'question_text_reference': 'FOUCAULT, M. **Vigiar e punir.** Petrópolis: Vozes, 2011.\n'}]","O texto indica o seguinte aspecto da disciplina como ferramenta política:
","{'A': 'Expansão das técnicas de suplício.', 'B': 'Judicialização das relações de poder.', 'C': 'Dissolução das distinções de nobreza.', 'D': 'Capilarização das práticas de controle.', 'E': 'Espetacularização das medidas de penitência.'}",D
13,enem_2025,ch,azul,60,"[{'question_text': 'Adam Smith via o açougueiro e o padeiro não só como indivíduos buscando seus interesses financeiros, mas como pessoas moralmente motivadas dentro de uma sociedade. A base da moral era a empatia e o julgamento, instaurando uma distinção entre o que queremos fazer e o que sentimos que devemos fazer.\n', 'question_text_reference': 'COLLIER, P. **O futuro do capitalismo.** Porto Alegre: LP&M, 2019.\n'}]","O texto defende uma motivação capitalista para o campo dos negócios, na qual o lucro se mostra associado à
","{'A': 'consolidação do poder político.', 'B': 'procura de satisfação subjetiva.', 'C': 'estruturação do monopólio comercial.', 'D': 'percepção de responsabilidade ética.', 'E': 'conquista do reconhecimento público.'}",D
14,enem_2025,ch,azul,61,"[{'question_text': 'O corpo de cidadãos é o poder supremo dos Estados. A supremacia pode residir ou num homem, ou na minoria, ou em todos. Sempre que o Um, ou a Minoria, ou Todos governam, tendo em vista o bem-estar comum, essas constituições são justas; mas se procuram apenas o benefício de uma das partes, seja ela o Um, a Minoria ou Todos, estabelece-se um desvio.\n', 'question_text_reference': 'ARISTÓTELES. **Política.** São Paulo: Nova Cultural, 2000.\n'}]","No excerto encontra-se a base da teoria clássica das três formas de governo representadas pela
","{'A': 'tirania, oligarquia e república.', 'B': 'burocracia, autarquia e império.', 'C': 'ditadura, autocracia e anarquia.', 'D': 'plutocracia, tecnocracia e demagogia.', 'E': 'monarquia, aristocracia e democracia.'}",E
15,enem_2025,ch,azul,65,"[{'question_text_title': 'O que eu queria ter sido', 'question_text': 'Um nome para o que sou, importa muito pouco. Importa o que eu gostaria de ser. O que eu gostaria de ser era uma lutadora. Quero dizer, uma pessoa que luta pelo bem dos outros. Isso desde pequena eu quis. Por que foi o destino me levando a escrever o que já escrevi, em vez de também desenvolver em mim a qualidade de lutadora que eu tinha? Em pequena, minha família por brincadeira chamava-me de “a protetora dos animais”. Porque bastava acusarem uma pessoa para eu imediatamente defendê-la. E eu sentia o drama social com tanta intensidade que vivia de coração perplexo diante das grandes injustiças a que são submetidas as chamadas classes menos privilegiadas.\n', 'question_text_reference': 'LISPECTOR, C. **Aprendendo a viver.** Rio de Janeiro: Rocco Digital, 2013.\n'}]","A reflexão contida no texto faz referência aos pressupostos de uma doutrina ética representada pelo
","{'A': 'estado eudaimônico.', 'B': 'referencial hedonista.', 'C': 'pensamento altruísta.', 'D': 'movimento antiespecista.', 'E': 'comportamento pragmático.'}",C
16,enem_2025,ch,azul,66,"[{'question_text': 'Independência de pensamento, autonomia e direito à oposição política estão perdendo sua função crítica básica numa sociedade que parece cada vez mais capaz de atender às necessidades dos indivíduos através da forma pela qual é organizada. Nas condições de um padrão de vida crescente, o não conformismo com o próprio sistema parece socialmente inútil, principalmente quando acarreta desvantagens econômicas e políticas tangíveis e ameaça o funcionamento suave do todo.\n', 'question_text_reference': 'MARCUSE, H. **Ideologia da sociedade industrial.** Rio de Janeiro: Zahar, 1969.\n'}]","Qual é a característica da sociedade industrial do século XX apresentada no texto?
","{'A': 'Gestão integrada.', 'B': 'Relativismo moral.', 'C': 'Desobediência civil.', 'D': 'Realidade unidimensional.', 'E': 'Desenvolvimento tecnológico.'}",D
17,enem_2025,ch,azul,72,"[{'question_text_title': 'TEXTO I', 'question_text': 'Em conjunto: todo e não todo, unido e separado, em consonância e em dissonância. De todos um e de um todos. (Fragmento B10)\n', 'question_text_reference': 'PRÉ-SOCRÁTICOS. São Paulo: Nova Cultural, 1996.\n'}, {'question_text_title': 'TEXTO II', 'question_text': 'Deus é dia-noite, inverno-verão, guerra-paz, saciedade-fome. (Fragmento B67)\n', 'question_text_reference': 'PRÉ-SOCRÁTICOS. São Paulo: Nova Cultural, 1996.\n'}]","A característica do pensamento do filósofo Heráclito, registrada nos fragmentos mencionados, é a ênfase na
","{'A': 'qualidade imperecível do mundo.', 'B': 'degradação material da natureza.', 'C': 'imobilidade imanente do universo.', 'D': 'distribuição dicotômica do cosmos.', 'E': 'desordem incontornável das coisas.'}",D
18,enem_2025,ch,azul,79,"[{'question_text': 'A missão dos governantes consiste em promover a felicidade da sociedade, punindo e recompensando. A parte da missão de governo que consiste em punir constitui mais particularmente o objeto da lei penal. A obrigatoriedade ou necessidade de punir uma ação é proporcional à medida que tal ação tende a perturbar a felicidade e à medida que a tendência do referido ato é perniciosa. A felicidade consiste naquilo que já vimos, ou seja, em desfrutar prazeres e em estar isento de dores.\n', 'question_text_reference': 'BENTHAM, J. **Uma introdução aos princípios da moral e da legislação.** São Paulo: Abril Cultural, 1974 (adaptado).\n'}]","Qual perspectiva de justiça emerge da relação, estabelecida no texto, entre punição e felicidade?
","{'A': 'Aplicação de meios para atingir um fim.', 'B': 'Imposição de regras para estabelecer um dever.', 'C': 'Sobreposição de princípios para fundamentar um direito.', 'D': 'Criação de parâmetros para reconhecer uma prescrição.', 'E': 'Elaboração de convenções para referendar um costume.'}",A
